Common Name,Scientific Name,Danger Level,Seasonal Activity,Image URL,Behavior & Habitat,Prevention
Termites,Isoptera,high,Spring|Summer|Autumn,https://res.cloudinary.com/drvdyd23p/image/upload/v1765479794/f41bfb3a-5e28-46e1-9bd7-577d3090278e.png,"Social insects that live in large colonies underground or in wood. They are secretive, avoiding light, and build mud tubes to travel. They thrive in moist environments and feed on cellulose found in wood, paper, and soil.","Reduce moisture around the house, fix leakages, keep wood off direct soil contact and seal foundation cracks; get periodic professional termite inspections and treatments."
Cockroaches,Blattodea,high,All Year,https://res.cloudinary.com/drvdyd23p/image/upload/v1765479678/16fa3e06-2cf3-450f-b42b-264502db69ac.png,"Nocturnal scavengers that prefer warm, humid, and dark places like kitchens, bathrooms, and drains. They are fast runners and can flatten their bodies to hide in cracks. They feed on almost anything organic.","Keep kitchens dry and clean, store food in airtight containers, fix pipe leaks, use drain covers and schedule regular gel-based cockroach treatments."
Rodents,Rodentia,high,Autumn|Winter|Spring,https://res.cloudinary.com/drvdyd23p/image/upload/v1765479746/bc4823a5-314b-4bd8-bb27-8f64c30e2bf1.png,"Intelligent and adaptable mammals usually active at night. They nest in hidden areas like wall voids, attics, and clutter. They constantly gnaw on materials to keep their teeth sharp and seek food sources in homes.","Seal entry points with metal mesh, keep food waste covered, clear clutter, trim vegetation near walls and use professional baiting and trapping programs."
Ants,Formicidae,medium,Spring|Summer|Autumn,https://res.cloudinary.com/drvdyd23p/image/upload/v1765479794/f41bfb3a-5e28-46e1-9bd7-577d3090278e.png,"Social insects living in organized colonies, often found in soil or wall cracks. Worker ants forage for food (sweets, proteins) and leave chemical trails for others to follow. They prefer moist areas near food sources.","Clean food spills quickly, store sweets and dry items in sealed jars, trim plants touching walls and use residual ant sprays and gel baits along trails."
Bed Bugs,Cimex lectularius,high,All Year,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480198/bcd7fe2c-b653-4892-bed4-ef5b40d55be8.png,"Small, parasitic insects that hide in cracks and crevices of beds, furniture, and walls during the day. They emerge at night to feed on human blood, attracted by body heat and CO2.","Regularly inspect beds, steam clean mattresses and upholstery, wash bedding in hot water, avoid used furniture and use professional heat and chemical treatments for infestations."
Mosquitoes,Culicidae,high,Spring|Summer|Autumn,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480095/67bc5761-a3c1-461c-9cc7-a3e2f769a9e8.png,"Flying insects active mostly at dawn and dusk. Females bite to feed on blood for egg production. They breed in stagnant water found in ponds, drains, or containers around the home.","Remove stagnant water weekly, cover overhead tanks, use window screens, wear protective clothing and use targeted fogging and larvicide treatments in high-risk areas."
Flies,Diptera,medium,Spring|Summer|Autumn,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480143/bfe7e0dc-195c-4fbb-9d3e-7ffbab2b086d.png,"Active during the day, attracted to decaying organic matter, garbage, and food. They rest on walls and ceilings. Maggots (larvae) develop in damp, rotting material.","Keep garbage bins covered, clean drains regularly, install fly screens on windows and doors and use UV fly traps and residual sprays in commercial kitchens."
Spiders,Araneae,medium,All Year,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480296/1fdfabc1-4c5b-4cee-ba2c-7b966cfe4c20.png,"Predatory arachnids that build webs in quiet, undisturbed corners, basements, and gardens to catch insects. Most are solitary and shy, biting only when threatened.","Reduce insect populations indoors, vacuum webs regularly, seal gaps around windows and doors and declutter storage areas to limit hiding spots."
Silverfish,Lepisma saccharinum,medium,All Year,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480365/508e85c2-2a5d-40b1-bf41-ca5900258f15.png,"Nocturnal, wingless insects that move in a fish-like motion. They require high humidity and feed on starch and mold found in books, wallpaper, and fabrics in damp areas.","Lower humidity with exhaust fans, store books and documents in dry areas, fix leaks and seal cracks; use residual insecticidal dusts in wall voids where needed."
Fleas,Siphonaptera,medium,Spring|Summer|Autumn,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480387/cd5e1b8f-6744-472e-aa61-58046bd9b7b4.png,"Tiny, jumping parasites that live on host animals (pets) or in carpets and bedding. They feed on blood and can survive for months without food in a pupal state.","Treat pets with vet-approved flea control, wash pet bedding in hot water, vacuum carpets thoroughly and use targeted residual sprays in affected rooms."
Wasps,Vespidae,high,Summer|Autumn,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480435/7537e360-ddf1-495c-83fc-11299a56af84.png,"Social or solitary stinging insects. They build paper-like nests in sheltered spots like eaves, attics, or trees. They can be aggressive if their nest is disturbed.","Avoid leaving sugary drinks and food uncovered outdoors, keep dustbins closed, inspect eaves and balconies for nests and have professional nest removal carried out safely."
Ticks,Ixodida,medium,Spring|Summer|Autumn,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480480/e7dfd46b-25f8-405e-8c68-a38c7437b53a.png,"Parasitic arachnids that wait on tall grass or shrubs to attach to passing hosts. They bury their heads into skin to feed on blood for days. Found in grassy, wooded areas.","Keep grass and shrubs trimmed, use vet-recommended tick treatments on pets, vacuum carpets regularly and inspect pets and clothing after outdoor visits."
House Lizards,Gekkonidae,low,Summer|Monsoon,https://res.cloudinary.com/drvdyd23p/image/upload/v1765480577/40b2b2d4-5fb4-4d72-8651-9a11d24895bb.png,"Reptiles active at night, often seen climbing walls and ceilings near lights to catch insects. They are generally harmless and hide in cracks or behind furniture during the day.","Reduce insect populations indoors, seal gaps around windows and doors, use mesh screens and keep walls and ceilings clean to limit hiding spots."
